smiles,logp
OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O,-3.108
CC(C)=CCCC(C)=CC(=O),2.878
c1ccsc1,1.7481
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,6.6206
ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,4.4814
O=C1CCCN1,-0.1036
CCCC=C,1.9725
CCCCCCCCCCCCCC,5.7074
CCC(C)CO,1.0248
CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,3.5847
Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl,6.6206
CCOP(=S)(OCC)SCSCC,3.7277
CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,2.9502
Cn1c(=O)n(C)c2nc[nH]c2c1=O,-1.0397
ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,6.1879
CCc1ccc(CC)cc1,2.8114
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,3.7842
Cc1cccc2c1Cc3ccccc32,3.5662
N(c1ccccc1)c2ccccc2,3.4302
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,4.1983
c1c(Cl)cccc1c2ccccc2,4.007
O=C2NC(=O)C1(CCC1)C(=O)N2,-0.4773
CC(C)OC=O,0.5678
CC(=O)Nc1ccc(Br)cc1,2.4075
COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C,2.1756
CCCCCCC#C,2.59
c1ccc2c(c1)ccc3c4ccccc4ccc23,5.1462
Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl,7.274
CC(C)CCC(C)(C)C,3.4687
Cc1cc2c3ccccc3ccc2c4ccccc14,5.4546
Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl,8.5808
CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,0.6205
O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,1.1077
CCNc1nc(Cl)nc(n1)N(CC)CC,1.803
CCC(Br)(CC)C(=O)NC(N)=O,1.135
O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2,0.0735
CC1(C)C2CCC1(C)C(=O)C2,2.4017
CCCCC(=O)OCC,1.7397
O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,3.563
CCCBr,1.7913
COP(=S)(OC)SCC(=O)N(C)C=O,0.8517
NC(=S)N,-0.8113
CCc1ccccc1CC,2.8114
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,6.628
CC(C)C1CCC(C)CC1=O,2.6477
O=N(=O)c1c(Cl)c(Cl)ccc1,2.9016
c1ccc2c(c1)c3cccc4cccc2c34,4.4872
Cc1cc(C)c2ccccc2c1,3.4566
c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,4.0436
C1OC1c2ccccc2,1.7579
CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,3.6959
C1OC(O)C(O)C(O)C1O,-2.5823
CCc1cccc2ccccc12,3.4022
Oc1ccccc1N(=O)=O,1.3004
CC(C)C,1.6623
Oc1c(I)cc(C#N)cc1I,2.4731
CCCCC,2.1965
Nc3ccc2cc1ccccc1cc2c3,3.5752
c1ccc2cnccc2c1,2.2348
CCCCCCc1ccccc1,3.8094
CCCC(=C)C,2.3626
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,4.9536
CCCCCCCCC=C,3.923
CCCCc1c(C)nc(nc1O)N(C)C,1.8992
c1ccncc1,1.0816
Cc1ccncc1C,1.6984
CCSCc1ccccc1OC(=O)NC,2.6579
CC1=CCC(CC1)C(C)=C,3.3089
CC(C)(C)c1ccc(O)cc1,2.6897
Clc1cccc(I)c1,2.9446
CC/C=C/C,1.9725
ClC=C(Cl)Cl,2.5017
Cc1cccc(C)c1,2.3034
CO,-0.3915
CCC(=O)C,0.9854
Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O,-1.375
CCCCCCO,1.559
C=CC=C,1.3584
Oc2ccc1CCCCc1c2,2.271
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,4.4941
CSc1nnc(c(=O)n1N)C(C)(C)C,0.3715
CCCCCC=O,1.7656
O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23,2.3545
Clc1ccc(cc1)c2ccccc2Cl,4.6604
CCN(=O)=O,0.283
Clc1ccc(Cl)c(Cl)c1Cl,4.3002
CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C,4.5153
CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2,1.0415
CC1=CC(=O)CC(C)(C)C1,2.3218
CCCCC(=O)CCCC,2.9359
CCC(C)CC,2.4425
Cc1ccccc1n3c(C)nc2ccccc2c3=O,3.0025
CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,5.3915
c1ccnnc1,0.4766
C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,5.5088
CCCCCCCCC(=O)OCC,3.3001
CNC(=O)Oc1ccccc1OC(C)C,2.192
Oc1ccc2ccccc2c1,2.5454
CCCCC#C,1.8098
Cc1ccccc1Cl,2.6484
Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,1.6838
CC#C,0.6395
CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,2.3388
O=c1[nH]cnc2nc[nH]c12,-0.3538
Fc1ccccc1,1.8257
CCOC(=O)C,0.5694
Cc1cc(C)c(C)c(C)c1C,3.2287
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,4.7938
